1,N-Z,N,Z,A,EL,MASS EXCESS (keV),MASS EXCESS ERROR (keV),BINDING ENERGY (keV),BINDING ENERGY ERROR (keV),ATOMIC MASS (u),ATOMIC MASS ERROR(u)
,-2,46,48,94,Cd,-40140#,500#,8099#,5#,#VALUE!,#VALUE!
0,27,61,34,95,Se,-30460#,500#,8112#,5#,#VALUE!,#VALUE!
,25,60,35,95,Br,-43771#,298#,8244#,3#,#VALUE!,#VALUE!
,23,59,36,95,Kr,-56158.913,18.63,8365.995,0.196,94.93971092,0.00002
,21,58,37,95,Rb,-65891.493,20.245,8460.208,0.213,94.92926257,0.000021734
,19,57,38,95,Sr,-75119.551,5.812,8549.111,0.061,94.91935584,0.000006239
,17,56,39,95,Y,-81208.848,6.779,8604.973,0.071,94.91281871,0.000007277
,15,55,40,95,Zr,-85659.94,0.869,8643.592,0.009,94.90804027,0.000000933
,13,54,41,95,Nb,-86786.258,0.508,8647.212,0.005,94.90683112,0.000000545
,11,53,42,95,Mo,-87711.858,0.123,8648.72,0.001,94.90583744,0.000000132
,9,52,43,95,Tc,-86021.341,5.08,8622.69,0.053,94.90765229,0.000005453
,7,51,44,95,Ru,-83457.745,9.502,8587.47,0.1,94.91040442,0.0000102
,5,50,45,95,Rh,-78340.606,3.886,8525.37,0.041,94.9158979,0.000004171
,3,49,46,95,Pd,-69965.9,3.031,8428.98,0.032,94.92488851,0.000003253
,1,48,47,95,Ag,-59597#,298#,8312#,3#,#VALUE!,#VALUE!
,-1,47,48,95,Cd,-46631#,401#,8167#,4#,#VALUE!,#VALUE!
0,26,61,35,96,Br,-38163#,298#,8184#,3#,#VALUE!,#VALUE!
,24,60,36,96,Kr,-53079.678,20.493,8330.851,0.213,95.94301662,0.000022
,22,59,37,96,Rb,-61354.349,3.353,8408.896,0.035,95.93413339,0.000003599
,20,58,38,96,Sr,-72924.157,8.475,8521.265,0.088,95.92171269,0.000009098
,18,57,39,96,Y,-78335.895,6.088,8569.488,0.063,95.91590295,0.000006535
,16,56,40,96,Zr,-85438.846,0.114,8635.327,0.001,95.90827762,0.000000122
,14,55,41,96,Nb,-85602.816,0.147,8628.886,0.002,95.90810159,0.000000157
,12,54,42,96,Mo,-88794.876,0.12,8653.987,0.001,95.90467477,0.000000128
,10,53,43,96,Tc,-85821.634,5.146,8614.866,0.054,95.90786668,0.000005524
,8,52,44,96,Ru,-86080.372,0.17,8609.412,0.002,95.90758891,0.000000182
,6,51,45,96,Rh,-79687.718,10.001,8534.673,0.104,95.91445171,0.000010737
,4,50,46,96,Pd,-76183.406,4.194,8490.02,0.044,95.91821374,0.000004502
,2,49,47,96,Ag,-64511.636,90.084,8360.29,0.938,95.93074391,0.000096708
,0,48,48,96,Cd,-55573#,401#,8259#,4#,#VALUE!,#VALUE!
,-2,47,49,96,In,-37890#,500#,8067#,5#,#VALUE!,#VALUE!
0,27,62,35,97,Br,-34055#,401#,8140#,4#,#VALUE!,#VALUE!
,25,61,36,97,Kr,-47423.492,130.409,8269.864,1.344,96.94908878,0.00014
,23,60,37,97,Rb,-58519.137,1.912,8376.186,0.02,96.93717712,0.000002052
,21,59,38,97,Sr,-68581.454,3.385,8471.856,0.035,96.92637478,0.000003633
,19,58,39,97,Y,-76121.424,6.719,8541.522,0.069,96.91828029,0.000007213
,17,57,40,97,Zr,-82942.661,0.414,8603.779,0.004,96.91095739,0.000000444
,15,56,41,97,Nb,-85605.776,4.249,8623.168,0.044,96.90809841,0.000004561
,13,55,42,97,Mo,-87544.691,0.165,8635.092,0.002,96.9060169,0.000000176
,11,54,43,97,Tc,-87224.424,4.118,8623.725,0.042,96.90636072,0.00000442
,9,53,44,97,Ru,-86120.552,2.763,8604.279,0.028,96.90754578,0.000002965
,7,52,45,97,Rh,-82597.552,35.463,8559.894,0.366,96.91132788,0.000038071
,5,51,46,97,Pd,-77805.843,4.844,8502.43,0.05,96.91647199,0.0000052
,3,50,47,97,Ag,-70825.843,110.107,8422.405,1.135,96.92396533,0.000118204
,1,49,48,97,Cd,-60454#,298#,8307#,3#,#VALUE!,#VALUE!
,-1,48,49,97,In,-47189#,401#,8163#,4#,#VALUE!,#VALUE!
0,28,63,35,98,Br,-28250#,400#,8080#,4#,#VALUE!,#VALUE!
,26,62,36,98,Kr,-44311#,298#,8236#,3#,#VALUE!,#VALUE!
,24,61,37,98,Rb,-54369.146,16.083,8330.729,0.164,97.94163232,0.000017265
,22,60,38,98,Sr,-66423.104,3.226,8445.745,0.033,97.92869186,0.000003463
,20,59,39,98,Y,-72294.777,7.929,8497.677,0.081,97.92238836,0.000008511
,18,58,40,98,Zr,-81286.709,8.451,8581.448,0.086,97.91273512,0.000009072
,16,57,41,98,Nb,-83524.598,5.001,8596.301,0.051,97.91033265,0.000005369
,14,56,42,98,Mo,-88115.972,0.174,8635.168,0.002,97.90540361,0.000000186
,12,55,43,98,Tc,-86432.205,3.38,8610.004,0.034,97.90721121,0.000003628
,10,54,44,98,Ru,-88224.858,6.463,8620.313,0.066,97.90528671,0.000006937
,8,53,45,98,Rh,-83175.205,11.906,8560.803,0.121,97.91070774,0.000012782
,6,52,46,98,Pd,-81320.975,4.742,8533.899,0.048,97.91269834,0.00000509
,4,51,47,98,Ag,-73066.415,32.907,8441.686,0.336,97.92155997,0.000035327
,2,50,48,98,Cd,-67636.415,51.797,8378.295,0.529,97.92738932,0.000055605
,0,49,49,98,In,-53896#,298#,8230#,3#,#VALUE!,#VALUE!
0,27,63,36,99,Kr,-38759#,401#,8178#,4#,#VALUE!,#VALUE!
,25,62,37,99,Rb,-51121.143,4.031,8295.3,0.041,98.94511919,0.000004327
,23,61,38,99,Sr,-62521.401,4.741,8402.552,0.048,98.93288051,0.000005089
,21,60,39,99,Y,-70649.825,6.627,8476.755,0.067,98.92415429,0.000007114
,19,59,40,99,Zr,-77620.617,10.502,8539.264,0.106,98.91667084,0.000011274
,17,58,41,99,Nb,-82335.341,12.004,8578.985,0.121,98.91160937,0.000012886
,15,57,42,99,Mo,-85970.098,0.229,8607.797,0.002,98.9077073,0.000000245
,13,56,43,99,Tc,-87327.862,0.908,8613.61,0.009,98.90624968,0.000000974
,11,55,44,99,Ru,-87625.381,0.344,8608.712,0.003,98.90593028,0.000000369
,9,54,45,99,Rh,-85581.3,6.697,8580.163,0.068,98.90812469,0.000007189
,7,53,46,99,Pd,-82182.651,4.981,8537.93,0.05,98.91177329,0.000005347
,5,52,47,99,Ag,-76712.473,6.265,8474.774,0.063,98.91764577,0.000006725
,3,51,48,99,Cd,-69931.123,1.584,8398.373,0.016,98.92492585,0.0000017
,1,50,49,99,In,-61376#,298#,8304#,3#,#VALUE!,#VALUE!
,-1,49,50,99,Sn,-47944#,503#,8160#,5#,#VALUE!,#VALUE!
0,28,64,36,100,Kr,-35052#,401#,8140#,4#,#VALUE!,#VALUE!
,26,63,37,100,Rb,-46247.064,19.561,8244.32,0.196,99.95035173,0.000021
,24,62,38,100,Sr,-59820.903,7.16,8372.234,0.072,99.93577962,0.000007686
,22,61,39,100,Y,-67327.396,11.186,8439.476,0.112,99.92772106,0.000012008
,20,60,40,100,Zr,-76377.437,8.149,8522.153,0.081,99.91800544,0.000008748
,18,59,41,100,Nb,-79797.399,7.986,8548.529,0.08,99.91433396,0.000008573
,16,58,42,100,Mo,-86193.025,0.302,8604.662,0.003,99.90746798,0.000000323
,14,57,43,100,Tc,-86020.945,1.351,8595.118,0.014,99.90765271,0.00000145
,12,56,44,100,Ru,-89227.389,0.343,8619.359,0.003,99.90421045,0.000000368
,10,55,45,100,Rh,-85591.126,18.125,8575.172,0.181,99.90811414,0.000019458
,8,54,46,100,Pd,-85212.778,17.638,8563.566,0.176,99.90852032,0.000018935
,6,53,47,100,Ag,-78137.959,5,8484.994,0.05,99.91611545,0.000005367
,4,52,48,100,Cd,-74194.596,1.677,8437.737,0.017,99.92034882,0.000001799
,2,51,49,100,In,-64312.972,182.519,8331.097,1.825,99.93095718,0.000195942
,0,50,50,100,Sn,-57282.972,301.518,8252.974,3.015,99.9385042,0.000323693
0,29,65,36,101,Kr,-29128#,503#,8081#,5#,#VALUE!,#VALUE!
,27,64,37,101,Rb,-42845#,200#,8209#,2#,#VALUE!,#VALUE!
,25,63,38,101,Sr,-55324.907,8.48,8324.74,0.084,100.9406063,0.000009103
,23,62,39,101,Y,-65061.002,7.092,8413.391,0.07,100.9301541,0.000007614
,21,61,40,101,Zr,-73165.957,8.339,8485.892,0.083,100.9214531,0.000008951
,19,60,41,101,Nb,-78891.491,3.749,8534.835,0.037,100.9153065,0.000004024
,17,59,42,101,Mo,-83519.949,0.309,8572.915,0.003,100.9103376,0.000000331
,15,58,43,101,Tc,-86344.594,24.004,8593.136,0.238,100.9073053,0.000025768
,13,57,44,101,Ru,-87958.114,0.415,8601.365,0.004,100.9055731,0.000000445
,11,56,45,101,Rh,-87412.416,5.841,8588.216,0.058,100.9061589,0.00000627
,9,55,46,101,Pd,-85432.132,4.588,8560.864,0.045,100.9082848,0.000004925
,7,54,47,101,Ag,-81334.374,4.838,8512.546,0.048,100.912684,0.000005193
,5,53,48,101,Cd,-75836.456,1.49,8450.365,0.015,100.9185862,0.0000016
,3,52,49,101,In,-68614#,196#,8371#,2#,#VALUE!,#VALUE!
,1,51,50,101,Sn,-60305.626,300.005,8281.102,2.97,100.9352592,0.000322068
0,28,65,37,102,Rb,-37707#,298#,8157#,3#,#VALUE!,#VALUE!
,26,64,38,102,Sr,-52159.304,67.068,8291.22,0.658,101.9440047,0.000072
,24,63,39,102,Y,-61173.177,4.077,8371.922,0.04,101.9343279,0.000004377
,22,62,40,102,Zr,-71587.707,8.767,8466.355,0.086,101.9231474,0.000009412
,20,61,41,102,Nb,-76304.544,2.545,8504.928,0.025,101.9180837,0.000002732
,18,60,42,102,Mo,-83566.061,8.312,8568.45,0.081,101.9102881,0.000008923
,16,59,43,102,Tc,-84572.878,9.166,8570.65,0.09,101.9092073,0.00000984
,14,58,44,102,Ru,-89106.437,0.418,8607.427,0.004,101.9043403,0.000000448
,12,57,45,102,Rh,-86783.318,6.41,8576.981,0.063,101.9068343,0.000006881
,10,56,46,102,Pd,-87903.171,0.554,8580.29,0.005,101.9056321,0.000000594
,8,55,47,102,Ag,-82246.691,8.171,8517.164,0.08,101.9117045,0.000008771
,6,54,48,102,Cd,-79659.691,1.662,8484.131,0.016,101.9144818,0.000001784
,4,53,49,102,In,-70694.884,4.573,8388.571,0.045,101.9241059,0.000004909
,2,52,50,102,Sn,-64934.884,100.105,8324.43,0.981,101.9302895,0.000107466
0,29,66,37,103,Rb,-33608#,401#,8117#,4#,#VALUE!,#VALUE!
,27,65,38,103,Sr,-47422#,196#,8243#,2#,#VALUE!,#VALUE!
,25,64,39,103,Y,-58457.575,11.204,8342.638,0.109,102.9372432,0.000012028
,23,63,40,103,Zr,-67815.334,9.232,8425.895,0.09,102.9271972,0.000009911
,21,62,41,103,Nb,-75028.671,3.935,8488.331,0.038,102.9194534,0.000004224
,19,61,42,103,Mo,-80960.67,9.232,8538.328,0.09,102.9130851,0.000009911
,17,60,43,103,Tc,-84603.867,9.81,8566.103,0.095,102.909174,0.000010531
,15,59,44,103,Ru,-87267.171,0.443,8584.365,0.004,102.9063148,0.000000475
,13,58,45,103,Rh,-88031.708,2.301,8584.192,0.022,102.9054941,0.00000247
,11,57,46,103,Pd,-87457.189,0.95,8571.019,0.009,102.9061108,0.000001019
,9,56,47,103,Ag,-84802.692,4.099,8537.651,0.04,102.9089606,0.0000044
,7,55,48,103,Cd,-80651.616,1.811,8489.754,0.018,102.9134169,0.000001943
,5,54,49,103,In,-74632.591,9.625,8423.721,0.093,102.9198786,0.000010332
,3,53,50,103,Sn,-66972.591,70.659,8341.757,0.686,102.928102,0.000075855
,1,52,51,103,Sb,-56178#,298#,8229#,3#,#VALUE!,#VALUE!
0,28,66,38,104,Sr,-44106#,298#,8210#,3#,#VALUE!,#VALUE!
,26,65,39,104,Y,-54064#,401#,8298#,4#,#VALUE!,#VALUE!
,24,64,40,104,Zr,-65724.06,9.325,8402.377,0.09,103.9294423,0.000010011
,22,63,41,104,Nb,-71819.012,2.737,8453.459,0.026,103.9228991,0.000002938
,20,62,42,104,Mo,-80349.968,8.921,8527.965,0.086,103.9137408,0.000009576
,18,61,43,104,Tc,-82503.444,24.888,8541.149,0.239,103.9114289,0.000026718
,16,60,44,104,Ru,-88095.71,2.498,8587.399,0.024,103.9054254,0.000002681
,14,59,45,104,Rh,-86959.348,2.303,8568.949,0.022,103.9066453,0.000002472
,12,58,46,104,Pd,-89395.105,1.336,8584.848,0.013,103.9040304,0.000001434
,10,57,47,104,Ag,-85116.452,4.217,8536.184,0.041,103.9086237,0.000004527
,8,56,48,104,Cd,-83968.38,1.673,8517.622,0.016,103.9098562,0.000001795
,6,55,49,104,In,-76182.665,5.775,8435.237,0.056,103.9182145,0.0000062
,4,54,50,104,Sn,-71627.047,5.745,8383.911,0.055,103.9231052,0.000006167
,2,53,51,104,Sb,-59173.62,122.444,8256.644,1.177,103.9364745,0.000131449
0,29,67,38,105,Sr,-38610#,503#,8156#,5#,#VALUE!,#VALUE!
,27,66,39,105,Y,-51270.361,1336.694,8269.02,12.73,104.944959,0.001435
,25,65,40,105,Zr,-61464.734,12.118,8358.659,0.115,104.9340149,0.000013008
,23,64,41,105,Nb,-69915.551,4.028,8431.692,0.038,104.9249426,0.000004324
,21,63,42,105,Mo,-77337.141,9.065,8494.923,0.086,104.9169752,0.000009731
,19,62,43,105,Tc,-82290.088,35.264,8534.643,0.336,104.911658,0.000037857
,17,61,44,105,Ru,-85934.49,2.499,8561.9,0.024,104.9077455,0.000002682
,15,60,45,105,Rh,-87851.243,2.502,8572.704,0.024,104.9056878,0.000002685
,13,59,46,105,Pd,-88417.888,1.138,8570.65,0.011,104.9050795,0.000001222
,11,58,47,105,Ag,-87070.836,4.544,8550.37,0.043,104.9065256,0.000004877
,9,57,48,105,Cd,-84333.839,1.392,8516.852,0.013,104.9094639,0.000001494
,7,56,49,105,In,-79640.572,10.246,8464.704,0.098,104.9145023,0.000011
,5,55,50,105,Sn,-73337.992,3.971,8397.228,0.038,104.9212684,0.000004263
,3,54,51,105,Sb,-64015.482,21.827,8300.992,0.208,104.9312765,0.000023431
,1,53,52,105,Te,-52811.51,300.02,8186.836,2.857,104.9433045,0.000322084
0,30,68,38,106,Sr,-34790#,600#,8119#,6#,#VALUE!,#VALUE!
,28,67,39,106,Y,-46053#,503#,8218#,5#,#VALUE!,#VALUE!
,26,66,40,106,Zr,-58549.987,433.145,8328.45,4.086,105.937144,0.000465
,24,65,41,106,Nb,-66203.357,4.122,8393.271,0.039,105.9289278,0.000004424
,22,64,42,106,Mo,-76134.528,9.14,8479.581,0.086,105.9182662,0.000009812
,20,63,43,106,Tc,-79776.223,12.25,8506.556,0.116,105.9143567,0.00001315
,18,62,44,106,Ru,-86323.223,5.391,8560.94,0.051,105.9073282,0.000005787
,16,61,45,106,Rh,-86362.627,5.39,8553.931,0.051,105.9072859,0.000005785
,14,60,46,106,Pd,-89907.527,1.106,8579.992,0.01,105.9034803,0.000001186
,12,59,47,106,Ag,-86942.383,3.016,8544.639,0.028,105.9066635,0.000003237
,10,58,48,106,Cd,-87132.138,1.104,8539.048,0.01,105.9064598,0.000001184
,8,57,49,106,In,-80608.134,12.226,8470.12,0.115,105.9134636,0.000013125
,6,56,50,106,Sn,-77353.687,5.091,8432.038,0.048,105.9169574,0.000005465
,4,55,51,106,Sb,-66473.292,7.452,8322.012,0.07,105.928638,0.000008
,2,54,52,106,Te,-58219.748,100.541,8236.767,0.948,105.9374985,0.000107934
0,31,69,38,107,Sr,-28900#,700#,8064#,7#,#VALUE!,#VALUE!
,29,68,39,107,Y,-42364#,503#,8182#,5#,#VALUE!,#VALUE!
,27,67,40,107,Zr,-54379.688,1122.45,8287.073,10.49,106.941621,0.001205
,25,66,41,107,Nb,-63723.81,8.023,8367.089,0.075,106.9315897,0.000008612
,23,65,42,107,Mo,-72551.56,9.233,8442.28,0.086,106.9221127,0.000009912
,21,64,43,107,Tc,-78749.914,8.673,8492.897,0.081,106.9154585,0.00000931
,19,63,44,107,Ru,-83862.512,8.673,8533.366,0.081,106.9099699,0.00000931
,17,62,45,107,Rh,-86863.703,12.051,8554.103,0.113,106.906748,0.000012937
,15,61,46,107,Pd,-88372.639,1.201,8560.894,0.011,106.9051281,0.000001289
,13,60,47,107,Ag,-88406.67,2.382,8553.9,0.022,106.9050915,0.000002557
,11,59,48,107,Cd,-86990.261,1.665,8533.351,0.016,106.9066121,0.000001787
,9,58,49,107,In,-83564.261,11.125,8494.021,0.104,106.9102901,0.000011943
,7,57,50,107,Sn,-78512.228,5.31,8439.494,0.05,106.9157137,0.0000057
,5,56,51,107,Sb,-70653.239,4.148,8358.734,0.039,106.9241506,0.000004452
,3,55,52,107,Te,-60539.326,70.83,8256.899,0.662,106.9350084,0.000076039
,1,54,53,107,I,-49430#,300#,8146#,3#,#VALUE!,#VALUE!
0,30,69,39,108,Y,-37297#,596#,8134#,6#,#VALUE!,#VALUE!
,28,68,40,108,Zr,-51353#,401#,8257#,4#,#VALUE!,#VALUE!
,26,67,41,108,Nb,-59545.765,8.237,8325.665,0.076,107.936075,0.000008842
,24,66,42,108,Mo,-70755.942,9.233,8422.219,0.085,107.9240404,0.000009912
,22,65,43,108,Tc,-75922.778,8.769,8462.816,0.081,107.9184935,0.000009413
,20,64,44,108,Ru,-83661.35,8.68,8527.225,0.08,107.9101858,0.000009318
,18,63,45,108,Rh,-85031.721,13.996,8532.67,0.13,107.9087147,0.000015024
,16,62,46,108,Pd,-89524.206,1.108,8567.023,0.01,107.9038918,0.000001189
,14,61,47,108,Ag,-87606.763,2.388,8542.025,0.022,107.9059503,0.000002563
,12,60,48,108,Cd,-89252.414,1.123,8550.019,0.01,107.9041836,0.000001205
,10,59,49,108,In,-84119.819,8.641,8495.251,0.08,107.9096937,0.000009276
,8,58,50,108,Sn,-82069.938,5.382,8469.027,0.05,107.9118943,0.000005778
,6,57,51,108,Sb,-72445.331,5.496,8372.666,0.051,107.9222267,0.0000059
,4,56,52,108,Te,-65781.667,5.411,8303.721,0.05,107.9293805,0.000005808
,2,55,53,108,I,-52649.605,132.26,8174.884,1.225,107.9434783,0.000141986
0,31,70,39,109,Y,-33200#,700#,8096#,6#,#VALUE!,#VALUE!
,29,69,40,109,Zr,-46193#,503#,8208#,5#,#VALUE!,#VALUE!
,27,68,41,109,Nb,-56689.794,258.49,8297.13,2.371,108.939141,0.0002775
,25,67,42,109,Mo,-66665.996,11.188,8381.477,0.103,108.9284311,0.00001201
,23,66,43,109,Tc,-74282.775,9.669,8444.178,0.089,108.9202542,0.00001038
,21,65,44,109,Ru,-80738.401,8.954,8496.227,0.082,108.9133238,0.000009612
,19,64,45,109,Rh,-84999.455,4.039,8528.142,0.037,108.9087493,0.000004336
,17,63,46,109,Pd,-87606.476,1.114,8544.882,0.01,108.9059506,0.000001195
,15,62,47,109,Ag,-88719.426,1.287,8547.915,0.012,108.9047558,0.000001381
,13,61,48,109,Cd,-88504.321,1.536,8538.764,0.014,108.9049867,0.000001649
,11,60,49,109,In,-86489.511,3.969,8513.102,0.036,108.9071497,0.000004261
,9,59,50,109,Sn,-82630.184,7.949,8470.518,0.073,108.9112928,0.000008533
,7,58,51,109,Sb,-76250.977,5.265,8404.815,0.048,108.9181412,0.000005652
,5,57,52,109,Te,-67715.39,4.382,8319.33,0.04,108.9273045,0.000004704
,3,56,53,109,I,-57672.496,6.729,8220.016,0.062,108.938086,0.000007223
,1,55,54,109,Xe,-46169.548,300.108,8107.306,2.753,108.9504349,0.000322178
0,30,70,40,110,Zr,-42886#,596#,8177#,5#,#VALUE!,#VALUE!
,28,69,41,110,Nb,-52309.909,838.345,8255.26,7.621,109.943843,0.0009
,26,68,42,110,Mo,-64542.585,24.223,8359.354,0.22,109.9307107,0.000026004
,24,67,43,110,Tc,-71034.51,9.497,8411.259,0.086,109.9237413,0.000010195
,22,66,44,110,Ru,-80072.576,8.924,8486.311,0.081,109.9140385,0.00000958
,20,65,45,110,Rh,-82828.686,17.805,8504.254,0.162,109.9110797,0.000019114
,18,64,46,110,Pd,-88330.905,0.612,8547.162,0.006,109.9051729,0.000000657
,16,63,47,110,Ag,-87457.302,1.286,8532.108,0.012,109.9061107,0.00000138
,14,62,48,110,Cd,-90347.969,0.38,8551.275,0.003,109.9030075,0.000000407
,12,61,49,110,In,-86469.969,11.553,8508.908,0.105,109.9071707,0.000012402
,10,60,50,110,Sn,-85841.983,13.777,8496.087,0.125,109.9078448,0.00001479
,8,59,51,110,Sb,-77449.734,5.962,8412.681,0.054,109.9168543,0.0000064
,6,58,52,110,Te,-72229.811,6.575,8358.115,0.06,109.9224581,0.000007058
,4,57,53,110,I,-60464.176,50.552,8244.043,0.46,109.935089,0.00005427
,2,56,54,110,Xe,-51922.625,100.988,8159.28,0.918,109.9442588,0.000108415
0,31,71,40,111,Zr,-37560#,700#,8128#,6#,#VALUE!,#VALUE!
,29,70,41,111,Nb,-48875#,298#,8223#,3#,#VALUE!,#VALUE!
,27,69,42,111,Mo,-59939.761,12.578,8315.292,0.113,110.935652,0.000013502
,25,68,43,111,Tc,-69024.622,10.581,8390.089,0.095,110.925899,0.000011359
,23,67,44,111,Ru,-76785.271,9.682,8452.957,0.087,110.9175676,0.000010394
,21,66,45,111,Rh,-82304.452,6.85,8495.631,0.062,110.9116425,0.000007354
,19,65,46,111,Pd,-85985.888,0.731,8521.749,0.007,110.9076903,0.000000785
,17,64,47,111,Ag,-88215.447,1.459,8534.787,0.013,110.9052968,0.000001565
,15,63,48,111,Cd,-89252.247,0.357,8537.079,0.003,110.9041838,0.000000383
,13,62,49,111,In,-88392.043,3.424,8522.282,0.031,110.9051072,0.000003675
,11,61,50,111,Sn,-85938.587,5.336,8493.13,0.048,110.9077411,0.000005728
,9,60,51,111,Sb,-80836.736,8.849,8440.12,0.08,110.9132182,0.0000095
,7,59,52,111,Te,-73587.477,6.427,8367.763,0.058,110.9210006,0.0000069
,5,58,53,111,I,-64953.785,4.754,8282.934,0.043,110.9302692,0.000005103
,3,57,54,111,Xe,-54395.534,86.7,8180.766,0.781,110.941604,0.000093076
,1,56,55,111,Cs,-42821#,196#,8069#,2#,#VALUE!,#VALUE!
0,32,72,40,112,Zr,-33810#,700#,8094#,6#,#VALUE!,#VALUE!
,30,71,41,112,Nb,-44274#,298#,8180#,3#,#VALUE!,#VALUE!
,28,70,42,112,Mo,-57464#,196#,8291#,2#,#VALUE!,#VALUE!
,26,69,43,112,Tc,-65258.938,5.515,8353.621,0.049,111.9299416,0.00000592
,24,68,44,112,Ru,-75630.818,9.599,8439.242,0.086,111.918807,0.000010305
,22,67,45,112,Rh,-79731.503,44.085,8468.87,0.394,111.9144047,0.000047327
,20,66,46,112,Pd,-86321.562,6.544,8520.724,0.058,111.90733,0.000007025
,18,65,47,112,Ag,-86583.718,2.422,8516.08,0.022,111.9070486,0.0000026
,16,64,48,112,Cd,-90574.859,0.25,8544.73,0.002,111.9027639,0.000000268
,14,63,49,112,In,-87990.131,4.251,8514.667,0.038,111.9055387,0.000004563
,12,62,50,112,Sn,-88655.056,0.294,8513.618,0.003,111.9048249,0.000000315
,10,61,51,112,Sb,-81598.965,17.829,8443.632,0.159,111.9123999,0.00001914
,8,60,52,112,Te,-77567.508,8.383,8400.652,0.075,111.9167279,0.000009
,6,59,53,112,I,-67063.33,10.246,8299.879,0.091,111.9280046,0.000011
,4,58,54,112,Xe,-60026.338,8.283,8230.064,0.074,111.9355591,0.000008891
,2,57,55,112,Cs,-46290.277,86.796,8100.435,0.775,111.9503053,0.000093178
0,31,72,41,113,Nb,-40511#,401#,8146#,4#,#VALUE!,#VALUE!
,29,71,42,113,Mo,-52490#,300#,8245#,3#,#VALUE!,#VALUE!
,27,70,43,113,Tc,-62811.541,3.353,8329.464,0.03,112.932569,0.0000036
,25,69,44,113,Ru,-71868.119,36.875,8402.688,0.326,112.9228464,0.000039587
,23,68,45,113,Rh,-78767.536,7.13,8456.821,0.063,112.9154396,0.000007653
,21,67,46,113,Pd,-83591.092,6.945,8492.584,0.061,112.9102613,0.000007455
,19,66,47,113,Ag,-87026.822,16.643,8516.065,0.147,112.9065729,0.000017866
,17,65,48,113,Cd,-89043.284,0.244,8526.987,0.002,112.9044081,0.000000262
,15,64,49,113,In,-89367.117,0.188,8522.929,0.002,112.9040604,0.000000202
,13,63,50,113,Sn,-88328.132,1.575,8506.811,0.014,112.9051758,0.00000169
,11,62,51,113,Sb,-84416.968,17.193,8465.275,0.152,112.9093747,0.000018457
,9,61,52,113,Te,-78347.029,27.945,8404.636,0.247,112.915891,0.00003
,7,60,53,113,I,-71119.507,8.011,8333.752,0.071,112.9236501,0.0000086
,5,59,54,113,Xe,-62203.618,6.84,8247.927,0.061,112.9332217,0.000007342
,3,58,55,113,Cs,-51764.53,8.577,8148.622,0.076,112.9444285,0.000009207
,1,57,56,113,Ba,-39784#,298#,8036#,3#,#VALUE!,#VALUE!
0,32,73,41,114,Nb,-35387#,503#,8100#,4#,#VALUE!,#VALUE!
,30,72,42,114,Mo,-49807#,298#,8220#,3#,#VALUE!,#VALUE!
,28,71,43,114,Tc,-58600.288,433.145,8290.259,3.8,113.93709,0.000465
,26,70,44,114,Ru,-70221.811,3.55,8385.34,0.031,113.9246138,0.000003811
,24,69,45,114,Rh,-75710.625,71.561,8426.624,0.628,113.9187213,0.000076824
,22,68,46,114,Pd,-83490.943,6.945,8488.01,0.061,113.9103688,0.000007456
,20,67,47,114,Ag,-84930.8,4.564,8493.778,0.04,113.908823,0.0000049
,18,66,48,114,Cd,-90014.932,0.276,8531.513,0.002,113.903365,0.000000296
,16,65,49,114,In,-88569.801,0.301,8511.973,0.003,113.9049164,0.000000323
,14,64,50,114,Sn,-90559.723,0.029,8522.566,0,113.9027801,0.000000031
,12,63,51,114,Sb,-84496.574,21.838,8462.518,0.192,113.9092892,0.000023444
,10,62,52,114,Te,-81888.569,27.945,8432.778,0.245,113.912089,0.00003
,8,61,53,114,I,-72796#,149#,8346#,1#,#VALUE!,#VALUE!
,6,60,54,114,Xe,-67085.89,11.178,8289.205,0.098,113.9279803,0.000012
,4,59,55,114,Cs,-54682.261,71.102,8173.538,0.624,113.9412962,0.000076331
,2,58,56,114,Ba,-45905.426,102.676,8089.686,0.901,113.9507185,0.000110227
0,33,74,41,115,Nb,-31354#,503#,8065#,4#,#VALUE!,#VALUE!
,31,73,42,115,Mo,-44749#,401#,8175#,3#,#VALUE!,#VALUE!
,29,72,43,115,Tc,-56319.99,789.441,8268.527,6.865,114.939538,0.0008475
,27,71,44,115,Ru,-66189.734,88.496,8347.547,0.77,114.9289424,0.000095004
,25,70,45,115,Rh,-74229.831,7.316,8410.658,0.064,114.920311,0.000007854
,23,69,46,115,Pd,-80426.386,13.546,8457.738,0.118,114.9136587,0.000014541
,21,68,47,115,Ag,-84982.654,18.268,8490.555,0.159,114.9087674,0.000019611
,19,67,48,115,Cd,-88084.479,0.651,8510.724,0.006,114.9054374,0.000000699
,17,66,49,115,In,-89536.346,0.012,8516.546,0,114.9038788,0.000000012
,15,65,50,115,Sn,-90033.835,0.015,8514.069,0,114.9033447,0.000000016
,13,64,51,115,Sb,-87003.403,16.025,8480.915,0.139,114.906598,0.000017203
,11,63,52,115,Te,-82062.759,27.945,8431.15,0.243,114.911902,0.00003
,9,62,53,115,I,-76337.797,28.876,8374.564,0.251,114.918048,0.000031
,7,61,54,115,Xe,-68656.748,12.109,8300.97,0.105,114.9262939,0.000013
,5,60,55,115,Cs,-59699#,102#,8216#,1#,#VALUE!,#VALUE!
